"Name","Registration status","Problem Set 0","Problem Set 1","Problem Set 2","Problem Set 3","Problem Set 4","Problem Set 5","Midterm Assessment","Problem Set 6","Problem Set 7","Problem Set 8","Problem Set 9","Comprehensive Assessment"
"Brian Davis","(54544) Graduate",8,6,3,3,4,4,67,1,6,5,3,51
"Sophie Wilson","(17084) Undergraduate",8,3,4,5,3,5,61,6,3,5,5,78
"Angela Wilson","(35629) Graduate",8,3,5,1,5,4,80,3,2,1,3,56
"Sophie James","(01214) Graduate",8,4,4,4,5,6,73,4,5,4,5,64
"Angela James","(48290) Undergraduate",8,6,4,4,5,5,58,4,5,5,3,73
"Sophie Smith","(33189) Undergraduate",8,3,5,2,5,3,64,3,2,4,6,59
"Matthew Chen","(98935) Graduate",8,6,3,5,5,4,71,5,6,6,6,80
"Julie Thompson","(15232) Graduate",8,4,6,4,5,6,60,5,6,5,6,59
"Taylor Davis","(22719) Undergraduate",8,6,5,5,5,6,80,5,6,6,6,73
"Matthew Bayes","(52881) Graduate",8,6,6,6,3,4,66,6,6,5,4,79
"Julie James","(35587) Graduate",8,6,5,5,5,5,68,5,6,4,5,57
"Bob Bayes","(15362) Undergraduate",8,2,5,4,4,2,80,1,2,4,5,52
"Matthew Lopez","(12276) Graduate",8,6,6,5,6,6,80,6,6,5,6,54
"Julie Lopez","(15043) Graduate",8,4,4,5,6,1,65,5,4,4,4,70
"Brian Smith","(23227) Graduate",8,5,5,4,5,6,63,6,5,4,5,59
"Alex Thompson","(21548) Graduate",8,6,6,3,6,6,62,6,6,6,6,61
"Matthew Davis","(91537) Graduate",8,6,5,6,4,5,55,5,6,6,6,64
"Angela Lopez","(63376) Graduate",8,6,4,6,4,6,65,5,4,4,4,78
